name,address,phone,website,rating,total_ratings,place_id
Zones Landscaping Sydney Northern Beaches - Mark Spence,"Booralie Rd, Terrey Hills NSW 2084, Australia",1800 301 020,https://www.zoneslandscaping.com.au/locations/sydney-northern-beaches?utm_source=directory&utm_medium=N4+Google+Business+Listing&utm_campaign=Mark+Spence,5,6,ChIJEf0TKlmkgKURFY0INt7pVlw
Lanning Landscapes,"51 Gondola Rd, North Narrabeen NSW 2101, Australia",0416 216 205,http://www.lanninglandscapes.com.au/,5,30,ChIJZUwDbeNUDWsRRfxR6REevK4
Lone Pine Landscapes,"531 Sydney Rd, Seaforth NSW 2092, Australia",(02) 9907 0988,http://www.lonepinelandscapes.com.au/,4.9,56,ChIJdWtuBOqrEmsRxS3kcAUHoYg
northern beaches landscapers,"81 Cabbage Tree Rd, Bayview NSW 2104, Australia",0413 199 980,https://nblandscapers.com.au/,5,6,ChIJ452vE4RUDWsRtjq-ALpFb6s
Space Landscape Designs,"138/117 Old Pittwater Rd, Brookvale NSW 2100, Australia",(02) 9905 7870,https://www.spacedesigns.com.au/,5,40,ChIJiybXhUaqEmsRF-_Y6kESz-8
Everest Landscape And Property Maintenance – Northern Beaches,"44-46 Dee Why Parade, Dee Why NSW 2099, Australia",0450 513 295,https://everestmaintenance.com.au/,5,2,ChIJb0VEqiGrEmsR-GfcpkfjbVE
Mother Nature's Landscapes,"44 Elimatta Rd, Mona Vale NSW 2103, Australia",0416 937 813,http://www.mothernatureslandscapes.com.au/,4.9,33,ChIJu4H0ZpVUDWsRxaPulcWWtYs
Sea Breeze Landscapes,"53 The Crescent, Dee Why NSW 2099, Australia",0412 772 714,http://www.seabreezelandscapes.com.au/,5,13,ChIJAwBMGpCqEmsRKeRE1YUeMS8
LDM GARDENS,"93a Warringah Rd, Narraweena NSW 2099, Australia",(02) 5301 5384,http://www.ldmgardens.com.au/,5,43,ChIJU2tUSmSqEmsROnwAon6pLTA
Scapemaster Landscapes,"11A Bolta Pl, Cromer NSW 2099, Australia",0414 407 732,https://scapemaster.com.au/,5,7,ChIJE33MEXiqEmsRDinxeUfH1Mg
